"archivo","year","n_faltantes","faltantes"
"2012.sav",2012,7,"AÑOOCU, CIUOHOM, CIUOMUJ, PPERHOM, PPERMUJ, PUEHOM, PUEMUJ"
"2013.sav",2013,7,"AÑOOCU, GETHOM, GETMUJ, OCUHOM, OCUMUJ, PPERHOM, PPERMUJ"
"2014.sav",2014,7,"AÑOOCU, GETHOM, GETMUJ, OCUHOM, OCUMUJ, PPERHOM, PPERMUJ"
"2015.sav",2015,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PPERHOM, PPERMUJ"
"2016.sav",2016,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2017.sav",2017,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2018.sav",2018,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2019.sav",2019,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2020.sav",2020,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2021.sav",2021,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PUEHOM, PUEMUJ"
"2022.sav",2022,6,"GETHOM, GETMUJ, OCUHOM, OCUMUJ, PPERHOM, PPERMUJ"
