"archivo","year","n_cols","preview"
"2012.sav",2012,47,"ANO_EMISION, MES_EMISION, DIA_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL, VIC_TRABAJA, VIC_OCUP, VIC_DEDICA, VIC_DISC, TIPO_DISCAQ"
"2013.sav",2013,52,"ANO_EMISION, MES_EMISION, DIA_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL, VIC_TRABAJA, VIC_OCUP, VIC_DEDICA, VIC_DISC, TIPO_DISCAQ"
"2014.sav",2014,53,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2015.sav",2015,53,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2016.sav",2016,53,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2017.sav",2017,73,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2018.sav",2018,72,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2019.sav",2019,72,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2020.sav",2020,72,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET, VIC_NACIONAL"
"2021.sav",2021,73,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, NUMERO_BOLETA, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET"
"2022.sav",2022,73,"HEC_DIA, HEC_MES, HEC_ANO, HEC_DEPTOMCPIO, HEC_TIPAGRE, NUMERO_BOLETA, DIA_EMISION, MES_EMISION, ANO_EMISION, DEPTO_MCPIO, QUIEN_REPORTA, VIC_SEXO, VIC_EDAD, TOTAL_HIJOS, NUM_HIJ_HOM, NUM_HIJ_MUJ, VIC_ALFAB, VIC_ESCOLARIDAD, VIC_EST_CIV, VIC_GRUPET"
