"archivo","year","n_faltantes","faltantes"
"2012.sav",2012,28,"AGR_GURPET, AGR_OTRAS_MUJ, AGR_OTRAS_N_AS, AGR_OTROS_HOM, AGR_OTROS_N_OS, AGRESORES_OTROS_TOTAL, ARTICULOCODPEN1, ARTICULOCODPEN2, ARTICULOCODPEN3, ARTICULOCODPEN4, ARTICULOTRAS1, ARTICULOTRAS2, ARTICULOTRAS3, ARTICULOTRAS4, ARTICULOVCM1, ARTICULOVCM2, ARTICULOVCM3, ARTICULOVCM4, ARTICULOVIF1, ARTICULOVIF2, ARTICULOVIF3, ARTICULOVIF4, CONDUCENTE, filter_$, NUMERO_BOLETA, ORGANISMO_JURISDICCIONAL, ORGANISMO_REMITE, TIPO_MEDIDA"
"2013.sav",2013,23,"AGR_GRUPET, ARTICULOCODPEN1, ARTICULOCODPEN2, ARTICULOCODPEN3, ARTICULOCODPEN4, ARTICULOTRAS1, ARTICULOTRAS2, ARTICULOTRAS3, ARTICULOTRAS4, ARTICULOVCM1, ARTICULOVCM2, ARTICULOVCM3, ARTICULOVCM4, ARTICULOVIF1, ARTICULOVIF2, ARTICULOVIF3, ARTICULOVIF4, CONDUCENTE, filter_$, NUMERO_BOLETA, ORGANISMO_JURISDICCIONAL, ORGANISMO_REMITE, TIPO_MEDIDA"
"2014.sav",2014,22,"AGR_GRUPET, ARTICULOCODPEN1, ARTICULOCODPEN2, ARTICULOCODPEN3, ARTICULOCODPEN4, ARTICULOTRAS1, ARTICULOTRAS2, ARTICULOTRAS3, ARTICULOTRAS4, ARTICULOVCM1, ARTICULOVCM2, ARTICULOVCM3, ARTICULOVCM4, ARTICULOVIF1, ARTICULOVIF2, ARTICULOVIF3, ARTICULOVIF4, CONDUCENTE, filter_$, NUMERO_BOLETA, ORGANISMO_JURISDICCIONAL, ORGANISMO_REMITE"
"2015.sav",2015,22,"AGR_GRUPET, ARTICULOCODPEN1, ARTICULOCODPEN2, ARTICULOCODPEN3, ARTICULOCODPEN4, ARTICULOTRAS1, ARTICULOTRAS2, ARTICULOTRAS3, ARTICULOTRAS4, ARTICULOVCM1, ARTICULOVCM2, ARTICULOVCM3, ARTICULOVCM4, ARTICULOVIF1, ARTICULOVIF2, ARTICULOVIF3, ARTICULOVIF4, CONDUCENTE, filter_$, NUMERO_BOLETA, ORGANISMO_JURISDICCIONAL, ORGANISMO_REMITE"
"2016.sav",2016,22,"AGR_GRUPET, ARTICULOCODPEN1, ARTICULOCODPEN2, ARTICULOCODPEN3, ARTICULOCODPEN4, ARTICULOTRAS1, ARTICULOTRAS2, ARTICULOTRAS3, ARTICULOTRAS4, ARTICULOVCM1, ARTICULOVCM2, ARTICULOVCM3, ARTICULOVCM4, ARTICULOVIF1, ARTICULOVIF2, ARTICULOVIF3, ARTICULOVIF4, CONDUCENTE, filter_$, NUMERO_BOLETA, ORGANISMO_JURISDICCIONAL, ORGANISMO_REMITE"
"2018.sav",2018,3,"AGR_GRUPET, filter_$, NUMERO_BOLETA"
"2019.sav",2019,3,"AGR_GRUPET, filter_$, NUMERO_BOLETA"
"2020.sav",2020,3,"AGR_GRUPET, filter_$, NUMERO_BOLETA"
"2017.sav",2017,2,"AGR_GRUPET, NUMERO_BOLETA"
"2021.sav",2021,2,"AGR_GRUPET, filter_$"
"2022.sav",2022,2,"AGR_GRUPET, filter_$"
