Valores de las variables divorcios,...2,...3
Valor,Código,Etiqueta
Departamento de registro,1,Guatemala
NA,2,El Progreso
NA,3,Sacatepéquez
NA,4,Chimaltenango
NA,5,Escuintla
NA,6,Santa Rosa
NA,7,Sololá
NA,8,Totonicapán
NA,9,Quetzaltenango
NA,10,Suchitepéquez
NA,11,Retalhuleu
NA,12,San Marcos
NA,13,Huehuetenango
NA,14,Quiché
NA,15,Baja Verapaz
NA,16,Alta Verapaz
NA,17,Petén
NA,18,Izabal
NA,19,Zacapa
NA,20,Chiquimula
NA,21,Jalapa
NA,22,Jutiapa
Municipio de registro,0101,Guatemala
NA,0102,Santa Catarina Pinula
NA,0103,San José Pinula
NA,0104,San José del Golfo
NA,0105,Palencia
NA,0106,Chinautla
NA,0107,San Pedro Ayampuc
NA,0108,Mixco
NA,0109,San Pedro Sacatepéquez
NA,0110,San Juan Sacatepéquez
NA,0111,San Raymundo
NA,0112,Chuarrancho
NA,0113,Fraijanes
NA,0114,Amatitlán
NA,0115,Villa Nueva
NA,0116,Villa Canales
NA,0117,Petapa
NA,0201,Guastatoya
NA,0202,Morazán
NA,0203,San Agustín Acasaguastlán
NA,0204,San Cristóbal Acasaguastlán
NA,0205,El Jícaro
NA,0206,Sansare
NA,0207,Sanarate
NA,0208,San Antonio la Paz
NA,0301,Antigua Guatemala
NA,0302,Jocotenango
NA,0303,Pastores
NA,0304,Sumpango
NA,0305,Santo Domingo Xenacoj
NA,0306,Santiago Sacatepéquez
NA,0307,San Bartolomé Milpas Altas
NA,0308,San Lucas Sacatepéquez
NA,0309,Santa Lucía Milpas Altas
NA,0310,Magdalena Milpas Altas
NA,0311,Santa María de Jesús
NA,0312,Ciudad Vieja
NA,0313,San Miguel Dueñas
NA,0314,Alotenango
NA,0315,San Antonio Aguas Calientes
NA,0316,Santa Catarina Barahona
NA,0401,Chimaltenango
NA,0402,San José Poaquil
NA,0403,San Martín Jilotepeque
NA,0404,Comalapa
NA,0405,Santa Apolonia
NA,0406,Tecpán Guatemala
NA,0407,Patzún
NA,0408,Pochuta
NA,0409,Patzicía
NA,0410,Santa Cruz Balanyá
NA,0411,Acatenango
NA,0412,Yepocapa
NA,0413,San Andrés Itzapa
NA,0414,Parramos
NA,0415,Zaragoza
NA,0416,El Tejar
NA,0501,Escuintla
NA,0502,Santa Lucía Cotzumalguapa
NA,0503,La Democracia
NA,0504,Siquinalá
NA,0505,Masagua
NA,0506,Tiquisate
NA,0507,La Gomera
NA,0508,Guanagazapa
NA,0509,San José
NA,0510,Iztapa
NA,0511,Palín
NA,0512,San Vicente Pacaya
NA,0513,Nueva Concepción
NA,0514,Sipacate
NA,0601,Cuilapa
NA,0602,Barberena
NA,0603,Santa Rosa de Lima
NA,0604,Casillas
NA,0605,San Rafael las Flores
NA,0606,Oratorio
NA,0607,San Juan Tecuaco
NA,0608,Chiquimulilla
NA,0609,Taxisco
NA,0610,Santa María Ixhuatán
NA,0611,Guazacapán
NA,0612,Santa Cruz Naranjo
NA,0613,Pueblo Nuevo Viñas
NA,0614,Nueva Santa Rosa
NA,0701,Sololá
NA,0702,San José Chacayá
NA,0703,Santa María Visitación
NA,0704,Santa Lucía Utatlán
NA,0705,Nahualá
NA,0706,Santa Catarina Ixtahuacán
NA,0707,Santa Clara la Laguna
NA,0708,Concepción
NA,0709,San Andrés Semetabaj
NA,0710,Panajachel
NA,0711,Santa Catarina Palopó
NA,0712,San Antonio Palopó
NA,0713,San Lucas Tolimán
NA,0714,Santa Cruz la Laguna
NA,0715,San Pablo la Laguna
NA,0716,San Marcos la Laguna
NA,0717,San Juan la Laguna
NA,0718,San Pedro la Laguna
NA,0719,Santiago Atitlán
NA,0801,Totonicapán
NA,0802,San Cristóbal Totonicapán
NA,0803,San Francisco el Alto
NA,0804,San Andrés Xecul
NA,0805,Momostenango
NA,0806,Santa María Chiquimula
NA,0807,Santa Lucía la Reforma
NA,0808,San Bartolo
NA,0901,Quetzaltenango
NA,0902,Salcajá
NA,0903,Olintepeque
NA,0904,San Carlos Sija
NA,0905,Sibilia
NA,0906,Cabricán
NA,0907,Cajolá
NA,0908,San Miguel Siguilá
NA,0909,Ostuncalco
NA,0910,San Mateo
NA,0911,Concepción Chiquirichapa
NA,0912,San Martín Sacatepéquez
NA,0913,Almolonga
NA,0914,Cantel
NA,0915,Huitán
NA,0916,Zunil
NA,0917,Colomba
NA,0918,San Francisco la Unión
NA,0919,El Palmar
NA,0920,Coatepeque
NA,0921,Génova
NA,0922,Flores Costa Cuca
NA,0923,La Esperanza
NA,0924,Palestina de los Altos
NA,1001,Mazatenango
NA,1002,Cuyotenango
NA,1003,San Francisco Zapotitlán
NA,1004,San Bernardino
NA,1005,San José el Idolo
NA,1006,Santo Domingo Suchitepéquez
NA,1007,San Lorenzo
NA,1008,Samayac
NA,1009,San Pablo Jocopilas
NA,1010,San Antonio Suchitepéquez
NA,1011,San Miguel Panán
NA,1012,San Gabriel
NA,1013,Chicacao
NA,1014,Patulul
NA,1015,Santa Bárbara
NA,1016,San Juan Bautista
NA,1017,Santo Tomás la Unión
NA,1018,Zunilito
NA,1019,Pueblo Nuevo
NA,1020,Río Bravo
NA,1021,San José La Máquina
NA,1101,Retalhuleu
NA,1102,San Sebastián
NA,1103,Santa Cruz Muluá
NA,1104,San Martín Zapotitlán
NA,1105,San Felipe
NA,1106,San Andrés Villa Seca
NA,1107,Champerico
NA,1108,Nuevo San Carlos
NA,1109,El Asintal
NA,1201,San Marcos
NA,1202,San Pedro Sacatepéquez
NA,1203,San Antonio Sacatepéquez
NA,1204,Comitancillo
NA,1205,San Miguel Ixtahuacán
NA,1206,Concepción Tutuapa
NA,1207,Tacaná
NA,1208,Sibinal
NA,1209,Tajumulco
NA,1210,Tejutla
NA,1211,San Rafael Pié de la Cuesta
