"DEPREG","MUPREG","MESREG","AÑOREG","DIAOCU","MESOCU","DEPOCU","MUPOCU","EDADHOM","EDADMUJ","GETHOM","GETMUJ","NACHOM","NACMUJ","ESCHOM","ESCMUJ","OCUHOM","OCUMUJ","year","PPERHOM","PPERMUJ","CIUOHOM","CIUOMUJ","AÑOOCU"
17,"1708",3,2012,16,2,17,"1703",999,33,9,2,320,320,9,4,"9712","110",2012,NA,NA,NA,NA,NA
12,"1213",5,2012,3,2,12,"1215",35,30,2,2,320,320,5,9,"110","1120",2012,NA,NA,NA,NA,NA
1,"0101",4,2012,27,3,1,"0101",33,32,9,2,320,320,5,5,"2142","1120",2012,NA,NA,NA,NA,NA
14,"1416",6,2012,28,5,14,"1401",31,28,9,2,320,320,1,4,"8189","1120",2012,NA,NA,NA,NA,NA
1,"0101",10,2012,12,3,1,"0101",27,29,2,2,320,320,4,5,"1346","1212",2012,NA,NA,NA,NA,NA
1,"0101",2,2012,9,1,1,"0101",37,30,9,9,320,320,9,9,"1219","1219",2012,NA,NA,NA,NA,NA
1,"0101",8,2012,11,6,1,"0101",41,42,2,9,320,320,5,5,"1219","1219",2012,NA,NA,NA,NA,NA
1,"0108",10,2012,12,9,1,"0101",999,999,9,9,222,320,9,9,"1219","1219",2012,NA,NA,NA,NA,NA
1,"0101",11,2012,3,8,1,"0101",36,30,2,2,320,320,5,5,"2421","1219",2012,NA,NA,NA,NA,NA
1,"0101",9,2012,29,2,1,"0101",46,37,2,2,320,320,5,5,"2511","1219",2012,NA,NA,NA,NA,NA
1,"0101",7,2012,20,4,1,"0101",999,999,9,9,320,320,9,9,"2619","1219",2012,NA,NA,NA,NA,NA
1,"0101",8,2012,16,5,1,"0101",38,35,2,2,320,320,9,5,"3521","1219",2012,NA,NA,NA,NA,NA
9,"0901",4,2013,30,5,9,"0901",35,35,1,2,320,320,4,4,"5249","1219",2012,NA,NA,NA,NA,NA
22,"2214",1,2013,13,2,22,"2201",999,33,9,2,840,320,9,4,"7232","1219",2012,NA,NA,NA,NA,NA
3,"0306",4,2012,10,4,1,"0115",36,38,2,2,320,320,3,4,"9712","1219",2012,NA,NA,NA,NA,NA
5,"0501",10,2012,25,7,5,"0501",27,27,2,2,320,320,5,5,"9712","1219",2012,NA,NA,NA,NA,NA
