ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR,...2,...3,...4
Valores de las variables,NA,NA,NA
NA,NA,NA,NA
Código,Descripción del código,Valor,Etiqueta
NA,NA,NA,NA
DATOS DE REGISTRO,NA,NA,NA
NA,NA,NA,NA
AÑO_EMISION,Año de emisión o registro de la denuncia en las fuentes de información,2022,2022
NA,NA,NA,NA
MES_EMISION,Mes de emisión o registro de la denuncia,1,Enero
NA,NA,2,Febrero
NA,NA,3,Marzo
NA,NA,4,Abril
NA,NA,5,Mayo
NA,NA,6,Junio
NA,NA,7,Julio
NA,NA,8,Agosto
NA,NA,9,Septiembre
NA,NA,10,Octubre
NA,NA,11,Noviembre
NA,NA,12,Diciembre
NA,NA,NA,NA
DIA_EMISION,Día de emisión o registro de la denuncia,1 a 31,Día de registro
NA,NA,NA,NA
DEPTO_MCPIO,Departamento y municipio de registro,101,Guatemala
NA,NA,102,Santa Catarina Pinula
NA,NA,103,San José Pinula
NA,NA,104,San José del Golfo
NA,NA,105,Palencia
NA,NA,106,Chinautla
NA,NA,107,San Pedro Ayampuc
NA,NA,108,Mixco
NA,NA,109,San Pedro Sacatepéquez
NA,NA,110,San Juan Sacatepéquez
NA,NA,111,San Raymundo
NA,NA,112,Chuarrancho
NA,NA,113,Fraijanes
NA,NA,114,Amatitlán
NA,NA,115,Villa Nueva
NA,NA,116,Villa Canales
NA,NA,117,Petapa
NA,NA,201,Guastatoya
NA,NA,202,Morazán
NA,NA,203,San Agustín Acasaguastlán
NA,NA,204,San Cristóbal Acasaguastlán
NA,NA,205,El Jícaro
NA,NA,206,Sansare
NA,NA,207,Sanarate
NA,NA,208,San Antonio La Paz
NA,NA,301,Antigua Guatemala
NA,NA,302,Jocotenango
NA,NA,303,Pastores
NA,NA,304,Sumpango
NA,NA,305,Santo Domingo Xenacoj
NA,NA,306,Santiago Sacatepéquez
NA,NA,307,San Bartolomé Milpas Altas
NA,NA,308,San Lucas Sacatepéquez
NA,NA,309,Santa Lucía Milpas Altas
NA,NA,310,Magdalena Milpas Altas
NA,NA,311,Santa María de Jesús
NA,NA,312,Ciudad Vieja
NA,NA,313,San Miguel Dueñas
NA,NA,314,Alotenango
NA,NA,315,San Antonio Aguas Calientes
NA,NA,316,Santa Catarina Barahona
NA,NA,401,Chimaltenango
NA,NA,402,San José Poaquil
NA,NA,403,San Martín Jilotepeque
NA,NA,404,Comalapa
NA,NA,405,Santa Apolonia
NA,NA,406,Tecpán Guatemala
NA,NA,407,Patzún
NA,NA,408,Pochuta
NA,NA,409,Patzicía
NA,NA,410,Santa Cruz Balanyá
NA,NA,411,Acatenango
NA,NA,412,Yepocapa
NA,NA,413,San Andrés Itzapa
NA,NA,414,Parramos
NA,NA,415,Zaragoza
NA,NA,416,El Tejar
NA,NA,501,Escuintla
NA,NA,502,Santa Lucía Cotzumalguapa
NA,NA,503,La Democracia
NA,NA,504,Siquinalá
NA,NA,505,Masagua
NA,NA,506,Tiquisate
NA,NA,507,La Gomera
NA,NA,508,Guanagazapa
NA,NA,509,San José
NA,NA,510,Iztapa
NA,NA,511,Palín
NA,NA,512,San Vicente Pacaya
NA,NA,513,Nueva Concepción
NA,NA,514,Sipacate
NA,NA,601,Cuilapa
NA,NA,602,Barberena
NA,NA,603,Santa Rosa de Lima
NA,NA,604,Casillas
NA,NA,605,San Rafael Las Flores
NA,NA,606,Oratorio
NA,NA,607,San Juan Tecuaco
NA,NA,608,Chiquimulilla
NA,NA,609,Taxisco
NA,NA,610,Santa María Ixhuatán
NA,NA,611,Guazacapán
NA,NA,612,Santa Cruz Naranjo
NA,NA,613,Pueblo Nuevo Viñas
NA,NA,614,Nueva Santa Rosa
NA,NA,701,Sololá
NA,NA,702,San José Chacayá
NA,NA,703,Santa María Visitación
NA,NA,704,Santa Lucía Utatlán
NA,NA,705,Nahualá
NA,NA,706,Santa Catarina Ixtahuacán
NA,NA,707,Santa Clara La Laguna
NA,NA,708,Concepción
NA,NA,709,San Andrés Semetabaj
NA,NA,710,Panajachel
NA,NA,711,Santa Catarina Palopó
NA,NA,712,San Antonio Palopó
NA,NA,713,San Lucas Toliman
NA,NA,714,Santa Cruz La Laguna
